time,measure,beat,is_first_in_measure
173.285,116,3,False
173.66,116,4,False
174.035,117,1,True
174.41,117,2,False
174.785,117,3,False
175.16,117,4,False
175.535,118,1,True
175.91,118,2,False
176.285,118,3,False
176.66,118,4,False
177.035,119,1,True
177.41,119,2,False
177.785,119,3,False
178.16,119,4,False
178.535,120,1,True
178.91,120,2,False
179.285,120,3,False
179.66,120,4,False
180.035,121,1,True
180.41,121,2,False
180.785,121,3,False
181.16,121,4,False
181.535,122,1,True
181.91,122,2,False
182.285,122,3,False
182.66,122,4,False
183.035,123,1,True
183.41,123,2,False
183.785,123,3,False
184.16,123,4,False
184.535,124,1,True
184.91,124,2,False
185.285,124,3,False
185.66,124,4,False
186.035,125,1,True
186.41,125,2,False
186.785,125,3,False
187.16,125,4,False
187.535,126,1,True
187.91,126,2,False
188.285,126,3,False
188.66,126,4,False
189.035,127,1,True
189.41,127,2,False
189.785,127,3,False
190.16,127,4,False
190.535,128,1,True
190.91,128,2,False
191.285,128,3,False
191.66,128,4,False
192.035,129,1,True
192.41,129,2,False
192.785,129,3,False
193.16,129,4,False
193.535,130,1,True
193.91,130,2,False
194.285,130,3,False
194.66,130,4,False
195.035,131,1,True
195.41,131,2,False
195.785,131,3,False
196.16,131,4,False
196.535,132,1,True
196.91,132,2,False
197.285,132,3,False
197.66,132,4,False
198.035,133,1,True
198.41,133,2,False
198.785,133,3,False
199.16,133,4,False
199.535,134,1,True
199.91,134,2,False
200.285,134,3,False
200.66,134,4,False
201.035,135,1,True
201.41,135,2,False
201.785,135,3,False
202.16,135,4,False
202.535,136,1,True
202.91,136,2,False
203.285,136,3,False
203.66,136,4,False
204.035,137,1,True
204.41,137,2,False
204.785,137,3,False
205.16,137,4,False
205.535,138,1,True
205.91,138,2,False
206.285,138,3,False
206.66,138,4,False
207.035,139,1,True
207.41,139,2,False
207.785,139,3,False
208.16,139,4,False
208.535,140,1,True
208.91,140,2,False
209.285,140,3,False
209.66,140,4,False
210.035,141,1,True
210.41,141,2,False
210.785,141,3,False
211.16,141,4,False
211.535,142,1,True
211.91,142,2,False
212.285,142,3,False
212.66,142,4,False
213.035,143,1,True
213.41,143,2,False
213.785,143,3,False
214.16,143,4,False
214.535,144,1,True
214.91,144,2,False
215.285,144,3,False
215.66,144,4,False
216.035,145,1,True
216.41,145,2,False
216.785,145,3,False
217.16,145,4,False
217.535,146,1,True
217.91,146,2,False
218.285,146,3,False
218.66,146,4,False
219.035,147,1,True
219.41,147,2,False
219.785,147,3,False
220.16,147,4,False
220.535,148,1,True
220.91,148,2,False
221.285,148,3,False
221.66,148,4,False
222.035,149,1,True
222.41,149,2,False
222.785,149,3,False
223.16,149,4,False
223.535,150,1,True
223.91,150,2,False
224.285,150,3,False
224.66,150,4,False
225.035,151,1,True
225.41,151,2,False
225.785,151,3,False
226.16,151,4,False
226.535,152,1,True
226.91,152,2,False
227.285,152,3,False
227.66,152,4,False
228.035,153,1,True
228.41,153,2,False
228.785,153,3,False
229.16,153,4,False
229.535,154,1,True
229.91,154,2,False
230.285,154,3,False
230.66,154,4,False
231.035,155,1,True
231.41,155,2,False
231.785,155,3,False
232.16,155,4,False
232.535,156,1,True
232.91,156,2,False
233.285,156,3,False
233.66,156,4,False
234.035,157,1,True
234.41,157,2,False
234.785,157,3,False
235.16,157,4,False
235.535,158,1,True
235.91,158,2,False
236.285,158,3,False
236.66,158,4,False
237.035,159,1,True
237.41,159,2,False
237.785,159,3,False
238.16,159,4,False
238.535,160,1,True
238.91,160,2,False
239.285,160,3,False
239.66,160,4,False
240.035,161,1,True
240.41,161,2,False
240.785,161,3,False
241.16,161,4,False
241.535,162,1,True
241.91,162,2,False
242.285,162,3,False
242.66,162,4,False
243.035,163,1,True
243.41,163,2,False
243.785,163,3,False
244.16,163,4,False
244.535,164,1,True
244.91,164,2,False
245.285,164,3,False
245.66,164,4,False
246.035,165,1,True
246.41,165,2,False
246.785,165,3,False
247.16,165,4,False
247.535,166,1,True
247.91,166,2,False
248.285,166,3,False
248.66,166,4,False
249.035,167,1,True
249.41,167,2,False
249.785,167,3,False
250.16,167,4,False
250.535,168,1,True
250.91,168,2,False
251.285,168,3,False
251.66,168,4,False
252.035,169,1,True
252.41,169,2,False
252.785,169,3,False
253.16,169,4,False
253.535,170,1,True
253.91,170,2,False
254.285,170,3,False
254.66,170,4,False
255.035,171,1,True
255.41,171,2,False
255.785,171,3,False
256.16,171,4,False
256.535,172,1,True
256.91,172,2,False
257.285,172,3,False
257.66,172,4,False
258.035,173,1,True
258.41,173,2,False
258.785,173,3,False
259.16,173,4,False
259.535,174,1,True
259.91,174,2,False
260.285,174,3,False
260.66,174,4,False
261.035,175,1,True
261.41,175,2,False
261.785,175,3,False
262.16,175,4,False
262.535,176,1,True
262.91,176,2,False
263.285,176,3,False
263.66,176,4,False
264.035,177,1,True
264.41,177,2,False
264.785,177,3,False
265.16,177,4,False
265.535,178,1,True
265.91,178,2,False
266.285,178,3,False
266.66,178,4,False
267.035,179,1,True
267.41,179,2,False
267.785,179,3,False
268.16,179,4,False
268.535,180,1,True
268.91,180,2,False
269.285,180,3,False
269.66,180,4,False
270.035,181,1,True
270.41,181,2,False
270.785,181,3,False
271.16,181,4,False
271.535,182,1,True
271.91,182,2,False
272.285,182,3,False
272.66,182,4,False
273.035,183,1,True
273.41,183,2,False
273.785,183,3,False
274.16,183,4,False
274.535,184,1,True
274.91,184,2,False
275.285,184,3,False
