TIME,LABEL
238.91,M160B2
239.285,M160B3
239.66,M160B4
240.035,M161B1
240.41,M161B2
240.785,M161B3
241.16,M161B4
241.535,M162B1
241.91,M162B2
242.285,M162B3
242.66,M162B4
243.035,M163B1
243.41,M163B2
243.785,M163B3
244.16,M163B4
244.535,M164B1
244.91,M164B2
245.285,M164B3
245.66,M164B4
246.035,M165B1
246.41,M165B2
246.785,M165B3
247.16,M165B4
247.535,M166B1
247.91,M166B2
248.285,M166B3
248.66,M166B4
249.035,M167B1
249.41,M167B2
249.785,M167B3
250.16,M167B4
250.535,M168B1
250.91,M168B2
251.285,M168B3
251.66,M168B4
252.035,M169B1
252.41,M169B2
252.785,M169B3
253.16,M169B4
253.535,M170B1
253.91,M170B2
254.285,M170B3
254.66,M170B4
255.035,M171B1
255.41,M171B2
255.785,M171B3
256.16,M171B4
256.535,M172B1
256.91,M172B2
257.285,M172B3
257.66,M172B4
258.035,M173B1
258.41,M173B2
258.785,M173B3
259.16,M173B4
259.535,M174B1
259.91,M174B2
260.285,M174B3
260.66,M174B4
261.035,M175B1
261.41,M175B2
261.785,M175B3
262.16,M175B4
262.535,M176B1
262.91,M176B2
263.285,M176B3
263.66,M176B4
264.035,M177B1
264.41,M177B2
264.785,M177B3
265.16,M177B4
265.535,M178B1
265.91,M178B2
266.285,M178B3
266.66,M178B4
267.035,M179B1
267.41,M179B2
267.785,M179B3
268.16,M179B4
268.535,M180B1
268.91,M180B2
269.285,M180B3
269.66,M180B4
270.035,M181B1
270.41,M181B2
270.785,M181B3
271.16,M181B4
271.535,M182B1
271.91,M182B2
272.285,M182B3
272.66,M182B4
273.035,M183B1
273.41,M183B2
273.785,M183B3
274.16,M183B4
274.535,M184B1
274.91,M184B2
275.285,M184B3
275.66,M184B4
276.035,M185B1
276.41,M185B2
276.785,M185B3
277.16,M185B4
277.535,M186B1
277.91,M186B2
278.285,M186B3
278.66,M186B4
279.035,M187B1
279.41,M187B2
279.785,M187B3
280.16,M187B4
280.535,M188B1
280.91,M188B2
281.285,M188B3
281.66,M188B4
282.035,M189B1
282.41,M189B2
282.785,M189B3
283.16,M189B4
283.535,M190B1
283.91,M190B2
284.285,M190B3
284.66,M190B4
285.035,M191B1
285.41,M191B2
285.785,M191B3
286.16,M191B4
286.535,M192B1
286.91,M192B2
287.285,M192B3
287.66,M192B4
288.035,M193B1
288.41,M193B2
288.785,M193B3
289.16,M193B4
289.535,M194B1
289.91,M194B2
290.285,M194B3
290.66,M194B4
291.035,M195B1
291.41,M195B2
291.785,M195B3
292.16,M195B4
292.535,M196B1
292.91,M196B2
293.285,M196B3
293.66,M196B4
