57.467	57.467	M39B2
57.842	57.842	M39B3
58.217	58.217	M39B4
58.592	58.592	M40B1
58.967	58.967	M40B2
59.342	59.342	M40B3
59.717	59.717	M40B4
60.092	60.092	M41B1
60.467	60.467	M41B2
60.842	60.842	M41B3
61.217	61.217	M41B4
61.592	61.592	M42B1
61.967	61.967	M42B2
62.342	62.342	M42B3
62.717	62.717	M42B4
63.092	63.092	M43B1
63.467	63.467	M43B2
63.842	63.842	M43B3
64.217	64.217	M43B4
64.592	64.592	M44B1
64.967	64.967	M44B2
65.342	65.342	M44B3
65.717	65.717	M44B4
66.092	66.092	M45B1
66.467	66.467	M45B2
66.842	66.842	M45B3
67.217	67.217	M45B4
67.592	67.592	M46B1
67.967	67.967	M46B2
68.342	68.342	M46B3
68.717	68.717	M46B4
69.092	69.092	M47B1
69.467	69.467	M47B2
69.842	69.842	M47B3
70.217	70.217	M47B4
70.592	70.592	M48B1
70.967	70.967	M48B2
71.342	71.342	M48B3
71.717	71.717	M48B4
72.092	72.092	M49B1
72.467	72.467	M49B2
72.842	72.842	M49B3
73.217	73.217	M49B4
73.592	73.592	M50B1
73.967	73.967	M50B2
74.342	74.342	M50B3
74.717	74.717	M50B4
75.092	75.092	M51B1
75.467	75.467	M51B2
75.842	75.842	M51B3
76.217	76.217	M51B4
76.592	76.592	M52B1
76.967	76.967	M52B2
77.342	77.342	M52B3
77.717	77.717	M52B4
78.092	78.092	M53B1
78.467	78.467	M53B2
78.842	78.842	M53B3
79.217	79.217	M53B4
79.592	79.592	M54B1
79.967	79.967	M54B2
80.342	80.342	M54B3
80.717	80.717	M54B4
81.092	81.092	M55B1
81.467	81.467	M55B2
81.842	81.842	M55B3
82.217	82.217	M55B4
82.592	82.592	M56B1
82.967	82.967	M56B2
83.342	83.342	M56B3
83.717	83.717	M56B4
84.092	84.092	M57B1
84.467	84.467	M57B2
84.842	84.842	M57B3
85.217	85.217	M57B4
85.592	85.592	M58B1
85.967	85.967	M58B2
86.342	86.342	M58B3
86.717	86.717	M58B4
87.092	87.092	M59B1
87.467	87.467	M59B2
87.842	87.842	M59B3
88.217	88.217	M59B4
88.592	88.592	M60B1
88.967	88.967	M60B2
89.342	89.342	M60B3
89.717	89.717	M60B4
90.092	90.092	M61B1
90.467	90.467	M61B2
90.842	90.842	M61B3
91.217	91.217	M61B4
